dt,Hurricane_IDs,LandAverageTemperature,LandMinTemperature,LandMaxTemperature,LandAndOceanAverageTemperature,AvgTempUSA,AvgTempFlorida,AvgTempLouisiana,AvgTempNorthCarolina,AvgTempSouthCarolina,AvgTempTexas,ACE
188008,['AL021880' 'AL031880' 'AL041880' 'AL051880'],13.807,7.555,19.502,16.695,19.773,26.831,26.687,23.898000000000003,25.625,25.648000000000003,37.8
188009,['AL041880' 'AL051880' 'AL061880' 'AL071880' 'AL081880'],11.386,5.84,17.558000000000003,15.918,15.112,25.303,23.178,20.407,22.178,22.64,40.2
188010,['AL081880' 'AL091880' 'AL101880' 'AL111880'],8.673,2.8960000000000004,14.567,15.024000000000001,8.209,21.922,17.906000000000006,14.567,16.614,16.365000000000002,29.3
188108,['AL011881' 'AL021881' 'AL031881' 'AL041881' 'AL051881'],13.71,8.046999999999999,19.879,16.665,21.06,26.966,28.542,24.991,26.323,28.291,23.5
188109,['AL061881' 'AL071881'],11.689,5.876,17.430000000000003,15.982000000000001,16.254,26.808000000000003,25.598000000000006,24.006,25.439,24.536,11.7
188208,['AL011882'],13.703,7.8359999999999985,19.832,16.678,20.066,26.859,26.235,23.898000000000003,25.546,25.189,4.9
188209,['AL021882' 'AL031882' 'AL041882' 'AL051882'],11.735999999999999,5.891,17.769000000000005,16.108,15.52,25.733,23.829,21.033,22.76,22.374,22.0
188210,['AL061882'],8.445,2.784,14.595999999999998,15.022,9.383,23.414,21.056,16.713,18.503,19.098,14.4
188308,['AL011883' 'AL021883'],13.224,7.463999999999999,19.590999999999998,16.538,19.683,27.17,27.158,23.726,25.649,27.023000000000003,18.5
188309,['AL021883' 'AL031883'],11.343,5.2989999999999995,17.663,15.956,15.497,25.534,23.91,20.164,22.009,23.35,24.2
188310,['AL041883'],8.908999999999997,2.6710000000000003,14.621,15.054,8.266,23.964000000000002,21.87,15.774000000000001,18.443,19.13,4.9
